;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
16;0;06.03.2019;162.9;49'44'662N,20'37'297E;;D1639;LS-4;Nowy Targ;Wojtek Domański;polygon s 5OB;55.27;49'43'671N,20'37'019E;;není možné podle pravidel bodovat
17;0;04.03.2019;39.8;48'15'800N,18'07'990E;;OM-1100;Centrair C-101A Pegase;Nitra;Dominik Jančík;polygon s 5OB;36.04;48'18'846N,18'08'395E;;není možné podle pravidel bodovat
18;0;04.03.2019;512.2;50'18'198N,17'19'272E;;SP-3753;SZD-48 Jantar Std. 2(3);Częstochowski;Rychu Pachla;polygon s 5OB;79.88;50'05'050N,17'13'917E;;volný let na vzdálenost
19;0;03.03.2019;258.4;50'15'613N,17'19'833E;;SP-3753;SZD-48 Jantar Std. 2(3);Częstochowski;Rychu Pachla;polygon s 3OB;76.56;50'05'050N,17'13'917E;;volný let na vzdálenost
20;0;03.03.2019;132.3;49'56'138N,15'33'798E;;DKBSD;DG-800 LA /18m+W;GAC Benešov;Soňa Fořtová;polygon s 5OB;84.54;49'43'567N,15'46'050E;;volný let na vzdálenost
21;0;03.03.2019;116.6;49'56'382N,15'33'126E;;OK-2727;ASW-27;VAP;Milan Havlík;polygon s 5OB;112.51;49'54'521N,15'33'865E;;není možné podle pravidel bodovat
22;0;03.03.2019;203.0;49'43'356N,15'46'202E;;OK-6744;ASW-20 (A)+F /15m;VAP;Tomáš Ditrt;polygon s 5OB;121.82;49'43'356N,15'46'202E;;rychlostní let podle deklarace
23;0;03.03.2019;203.0;49'58'483N,15'29'200E;;OK-3510;VSO-10;VAP;Oldřich Zumr;polygon s 5OB;88.04;49'58'483N,15'29'200E;;rychlostní let podle deklarace
24;0;02.03.2019;269.8;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 3OB;99.59;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
25;0;01.03.2019;311.1;32'13'033S,148'13'417E;;VH-GFV;Discus b +W;Mladá Boleslav;Vojtěch Hájek;FAI trojúhelník s odletem z ramene;86.81;32'13'033S,148'13'417E;;rychlostní let podle deklarace
26;0;28.02.2019;114.6;32'13'033S,148'13'417E;;VH-GFV;Discus b +W;Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;61.37;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
27;0;27.02.2019;173.5;32'13'033S,148'13'417E;;VH-CQO;LS-4;Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;74.94;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
28;0;26.02.2019;187.6;48'10'022N,18'04'317E;;OM-8800;DG-1000S 20m;Nitra;Peter Hupka;polygon s 5OB;56.85;48'20'567N,18'06'300E;;volný let na vzdálenost
29;0;26.02.2019;318.5;32'13'033S,148'13'417E;;VH-WVS;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 3OB;82.02;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
30;0;21.02.2019;328.4;32'13'033S,148'13'417E;;VH-WVS;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;trojúhelník;111.38;32'13'033S,148'13'417E;;rychlostní let podle deklarace
31;0;15.02.2019;168.6;48'17'539N,18'07'658E;;OM-8888;LS-8s(t) /18m;Nitra;Dominik Jančík;polygon s 5OB;62.99;48'18'431N,18'05'610E;;není možné podle pravidel bodovat
32;0;24.11.2018;1000.8;23'26'000S,18'16'167E;;D-KLCS;Arcus E/M/S/T;Medlánky;Stanislav Kubíček;trojúhelník s odletem z ramene;132.56;23'26'000S,18'16'167E;;rychlostní let podle deklarace
33;0;14.02.2019;58.1;48'15'897N,18'08'390E;;D-KYLS;LS-8s(t) /18m;Nitra;Dominik Jančík;polygon s 5OB;44.62;48'19'794N,18'07'532E;;není možné podle pravidel bodovat
34;0;14.02.2019;315.1;32'13'033S,148'13'417E;;VH-GFV;Discus b +W;Mladá Boleslav;Vojtěch Hájek;trojúhelník s odletem z ramene;95.93;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
35;0;14.02.2019;409.0;32'12'950S,148'13'467E;;VH-WPP;Ventus 2a /15m;Toužim;Pavel Jiránek;trojúhelník s odletem z ramene;114.3;32'12'950S,148'13'467E;;rychlostní let se změnou tratě za letu
36;0;12.02.2019;503.8;32'12'950S,148'13'467E;;VH-WPP;Ventus 2a /15m;Toužim;Pavel Jiránek;polygon s 3OB;135.02;32'12'950S,148'13'467E;;rychlostní let podle deklarace
37;0;11.02.2019;312.0;32'12'950S,148'13'467E;;VH-WPP;Ventus 2a /15m;Toužim;Pavel Jiránek;polygon s 3OB;104.84;32'12'950S,148'13'467E;;rychlostní let podle deklarace
38;0;08.02.2019;151.5;32'13'060S,148'13'675E;;VH-WVS;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;103.33;32'12'124S,148'14'531E;;není možné podle pravidel bodovat
39;0;31.07.2018;604.8;49'14'199N,16'33'300E;;OK-2210;LAK 17A(T) /18m;Medlánky;Stanislav Kubíček;FAI trojúhelník s odletem z ramene;105.36;49'18'309N,16'34'563E;;rychlostní let podle deklarace
40;0;22.01.2019;446.5;32'15'548S,147'52'160E;;VH-GZR      ;Std. Cirrus;Raná;Petr Beneš;2OB;68.96;32'12'950S,148'13'467E;;volný let na vzdálenost
